address,zone,internal
"Pinar de la Venta, 45221 Alianza de Cazadores Diana, Jal.",DIANA NATURA,Colonia Diana Nature Residencial
"Paseo del Cielo 1, El Palomar, 45640 Jal.",EL CIELO COUNTRY CLUB,Colonia El Palomar Secc Panorámica
"El Coto, 45116 Zapopan, Jal.",EL COTO,Colonia Puerta de Hierro
"El Manantial, 45645 Los Gavilanes, Jal.",EL MANANTIAL,
"El Palomar, Palomar, Jal.",EL PALOMAR,Colonia El Palomar Secc Bosques
"Jardín Real, Zapopan, Jal.",JARDIN REAL,Colonia Jardín Real
"Jardines Universidad, 45110 Zapopan, Jal.",JARDINES UNIVERSIDAD,Colonia Jardines Universidad
"Jardines Vallarta, 45027 Zapopan, Jal.",JARDINES VALLARTA,Colonia Vallarta Universidad
"Av Rafael Sanzio 198-228, La Estancia, 45030 Zapopan, Jal.",LA ESTANCIA,Colonia La estancia
"La Rioja, Los Gavilanes, 45645 Los Gavilanes, Jal.",LA RIOJA,Colonia La Rioja
"Av. Paseo La Toscana, 45136 Zapopan, Jal.",LA TOSCANA,Colonia La Toscana
"Av. Adolfo López Mateos Sur 5550, Los Gavilanes, 45645 Club de Golf Santa Anita, Jal.",LAGO NOGAL,Colonia Lago Nogal
"Las Cañadas, Jal.",LAS CAÑADAS,Colonia Las Cañadas
"P.º de los Virreyes 1250, Las Cumbres, 45136 Zapopan, Jal.",LAS CUMBRES,
"Cvln. Sur 48, Las Fuentes, 45070 Zapopan, Jal.",LAS FUENTES,Colonia Las Fuentes
"C. Las Villas 10, El Palomar, 45643 Palomar, Jal.",LAS VILLAS,Colonia Las Villas
"Av. Juan Palomar y Arias, Vallarta Universidad, 45110 Zapopan, Jal.",LOMAS ACUEDUCTO,
"Bjd. Vista Hermosa 1172-1179, Lomas del Valle, 45129 Zapopan, Jal.",LOMAS DEL VALLE,Colonia Lomas del Valle
"Av. Acueducto 6060, Lomas del Bosque, Chedraui, 45118 Zapopan, Jal.",LOS FRAILES,Colonia Residencial los Frailes
"Hidalgo Pte. 5-197, Los Gavilanes, 45640 Los Gavilanes, Jal.",LOS GAVILANES,Colonia Los Gavilanes
"Avenida General Ramón Corona # 2748, 45019 Zapopan, Jal.",LOS OLIVOS,
"Residencial Los Sueños, 45019 Zapopan, Jal.",LOS SUEÑOS,Colonia Los Sueños
"Avenida General Ramón Corona 7880, La Mojonera, 45019 Zapopan, Jal.",METICA RESIDENCIAL,Colonia Mitica Residencial
"P.º del Pinar, 45221 Pinar de la Venta, Jal.",PINAR DE LA VENTA,Colonia Pinar de la Venta
"Provenza Residencial, 45645 San Agustín, Jal.",PROVENZA,Colonia Residencial Provenza (La Romana)
"Av. Universidad 1151, El Secreto, 45066 Zapopan, Jal.",PUERTA AQUA,
"Blvd. Prta de Hierro, Puerta de Hierro, 45116 Zapopan, Jal.",PUERTA DE HIERRO,Colonia Puerta de Hierro
"Puerta del Bosque, 45116 Zapopan, Jal.",PUERTA DEL BOSQUE,Colonia Puerta del Bosque
"Av. Universidad 2662, Fracc. Puerta Las Lomas, 45110 Zapopan, Jal.",PUERTA LAS LOMAS,Colonia Fraccionamiento Puerta las Lomas
"Av. Punto Sur 312, Punto Sur, 45640 Tlajomulco de Zúñiga, Jal.",PUNTO SUR,Colonia Punto Sur
"Av. Punto Sur 6259, 45645 Los Gavilanes, Jal.",PUNTO SUR ELITE,Colonia Punto sur
"Av. de las Rosas, Rancho Contento, 45222 Rancho Contento, Jal.",RANCHO CONTENTO,Colonia Rancho Contento
"P.º Valle Real 3000, Valle Real, 45019 Zapopan, Jal.",RESERVA REAL,Colonia Valle Real
"Av. Paseo Royal Country 5464-5514, Royal Country, 45116 Zapopan, Jal.",ROYAL COUNTRY,Colonia Royal Country
"Avenida General Ramón Corona 2500, Hacienda San Acacio, 45138 La Mojonera, Jal.",SAN ACASIO,Colonia
"Av. Adolfo López Mateos Sur 2540, El Palomar, 45645 Los Gavilanes, Jal.",SAN JOSE DEL TAJO,Colonia San Jose del tajo
"San Martín del Tajo, Los Gavilanes, 45645 Los Gavilanes, Jal.",SAN MARTIN DEL TAJO,Colonia San martín del tajo
"Solares Residencial, 45019 Zapopan, Jal.",SOLARES,Colonia Solares
"Av. Valle de los Imperios, 45134 Tesistán, Jal.",VALLE IMPERIAL,Colonia Valle Imperial
"P.º San Arturo Ote. 114, Valle Real, 45019 Zapopan, Jal.",VALLE REAL,Colonia Valle Real
"P.º García Lorca 100, Magna, 45169 Zapopan, Jal.",VILLA MAGNA,Colonia Villa Magna
"Virreyes, Zapopan, Jal.",VIRREYES,Colonia Fraccionamiento Residencial Parque Virreyes
"Av. Acueducto 5300, Lomas del Bosque, Atlas Colomos, 45118 Zapopan, Jal.",ZOTOGRANDE,Colonia Zotogrande
